"datasetId","measurementId","measurementType","referencingId","sourceDoi","sourceId","timeRelative","timeUnit","timeAbsolute","parameter","inheritId","parameterDescription","parameterDataType","parameterText","parameterStatistics","parameterNumeric","parameterNumericOperator","parameterUnit","parameterUncertaintyType","parameterUncertaintyLower","parameterUncertaintyUpper","parameterUncertaintyUnit","ownerGroup","protocolId","instrumentId","X","X.1"
"10.1016/j.toxlet.2015.07.001",17,"Property",24,"",NA,NA,"",NA,"Particle Size Distribution ",NA,"Reported by Experimenter","Numeric","","","130","=","nanometer","","","","","[]","[""1001""]","[""1001""]",NA,NA
"10.1016/j.toxlet.2015.07.001",18,"Property",24,"",NA,NA,"",NA,"Particle Size Distribution  ",NA,"Reported by Experimenter","Numeric","","","89","=","percent","","","","","[]","[""1001""]","[""1001""]",NA,NA
"10.1016/j.toxlet.2015.07.001",19,"Property",24,"",NA,NA,"",NA,"Particle Size Distribution ",NA,"Reported by Experimenter","Numeric","","","506","=","nanometer","","","","","[]","[""1001""]","[""1001""]",NA,NA
"10.1016/j.toxlet.2015.07.001",20,"Property",24,"",NA,NA,"",NA,"Particle Size Distribution  ",NA,"Reported by Experimenter","Numeric","","","0.1","=","percent","","","","","[]","[""1001""]","[""1001""]",NA,NA
"10.1016/j.toxlet.2015.07.001",21,"Property",24,"",NA,NA,"",NA,"Particle Size Distribution ",NA,"Reported by Experimenter","Numeric","","","5180","=","nanometer","","","","","[]","[""1001""]","[""1001""]",NA,NA
"10.1016/j.toxlet.2015.07.001",22,"Medium",14,"",NA,NA,"",NA,"Exposure Medium",NA,"Made by Experimenter","Text","Saline","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",23,"Property",22,"",NA,NA,"",NA,"sodium chloride",NA,"Made by Experimenter","Numeric","","","0.9","=","percent","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",24,"Material",14,"",NA,NA,"",NA,"core component",NA,"Received by Supplier","Text","silver nanoparticle","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",25,"Property",24,"",NA,NA,"",NA,"Physical State",NA,"Made by Experimenter","Text","Suspension","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",26,"Property",24,"",NA,NA,"",NA,"concentration ",NA,"Made by Experimenter","Numeric","","","0.8","=","milligram per milliliter","","","","","[]","[""1001""]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",27,"Property",24,"",NA,NA,"",NA,"elemental Impurity",NA,"Reported by Experimenter","Numeric","","","216.8","=","microgram per gram","","","","","[]","[]","[""1009""]",NA,NA
"10.1016/j.toxlet.2015.07.001",28,"Property",24,"",NA,NA,"",NA,"elemental Impurity",NA,"Reported by Experimenter","Numeric","","","23.8","=","microgram per gram","","","","","[]","[]","[""1009""]",NA,NA
"10.1016/j.toxlet.2015.07.001",29,"Property",24,"",NA,NA,"",NA,"elemental Impurity",NA,"Reported by Experimenter","Numeric","","","0.6","=","microgram per gram","","","","","[]","[]","[""1009""]",NA,NA
"10.1016/j.toxlet.2015.07.001",30,"Instance",14,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[""1002"",""1003""]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",31,"Property",32,"",NA,NA,"",NA,"Exposure route of administration",NA,"Made by Experimenter","Text","Oropharyngeal aspiration","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",32,"Medium",30,"",NA,NA,"",NA,"Class",NA,"Reported by Experimenter","Text","Mammal","","","","","","","","","[]","[""1002""]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",33,"Property",32,"",NA,NA,"",NA,"Assay Category",NA,"Reported by Experimenter","Text","In vivo","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",34,"Property",32,"",NA,NA,"",NA,"Strain",NA,"Reported by Experimenter","Text","BALB/c OlaHsd","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",35,"Property",32,"",NA,NA,"",NA,"Latin name",NA,"Reported by Experimenter","Text","Mus Musculus","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",36,"Property",32,"",NA,NA,"",NA,"Age",NA,"Reported by Experimenter","Numeric","","","6","=","week","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",37,"Property",32,"",NA,NA,"",NA,"Supplier",NA,"Reported by Experimenter","Text","Harlan ","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",38,"Property",32,"",NA,NA,"",NA,"Sex",NA,"Reported by Experimenter","Text","Male","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",39,"Material",30,"",NA,NA,"",NA,"core component",NA,"Reported by Experimenter","Text","silver nanoparticle","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",40,"Property",39,"",NA,NA,"",NA,"Physical State",NA,"Made by Experimenter","Text","Suspension","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",41,"Property",39,"",NA,NA,"",NA,"Volume",NA,"Reported by Experimenter","Numeric","","","25","=","microliter","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",42,"Property",32,"",NA,NA,"",NA,"Dose",NA,"Made by Experimenter","Numeric","","","100","=","microgram","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",43,"Property",39,"",NA,NA,"",NA,"Concentration",NA,"Made by Experimenter","Numeric","","","0.8","=","milligram per milliliter","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",44,"Property",32,"",NA,NA,"",NA,"Duration",NA,"Made by Experimenter","Text","exposure lasted 28 days","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",45,"Property",32,"",NA,NA,"",NA,"Time Interval",NA,"Made by Experimenter","Text","Every seven days","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",46,"Instance",8,"",NA,30,"day",NA,"",NA,"","","","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",47,"Property",51,"",NA,NA,"",NA,"cell count",NA,"Reported by Experimenter","Numeric","","mean","38200","=","dimensionless","standard deviation","22800","53600","dimensionless","[]","[""1007""]","[""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",48,"Property",51,"",NA,NA,"",NA,"macrophage",NA,"Reported by Experimenter","Numeric","","mean","37900","=","dimensionless","standard deviation","21300","54500","dimensionless","[]","[""1007""]","[""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",49,"Property",51,"",NA,NA,"",NA,"Neutrophil count",NA,"Reported by Experimenter","Numeric","","mean","300","=","dimensionless","standard deviation","0","600","dimensionless","[]","[""1007""]","[""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",50,"Property",51,"",NA,NA,"",NA,"slice",NA,"Reported by Experimenter","Text","No spots of Ag were observed ","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",51,"Medium",46,"",NA,NA,"",NA,"Organ",NA,"Reported by Experimenter","Text","Lung","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",52,"Property",51,"",NA,NA,"",NA,"Assay Category",NA,"Reported by Experimenter","Text","In vivo","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",53,"Material",46,"",NA,NA,"",NA,"core component",11,"Reported by Experimenter","Text","silver nanoparticle","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",54,"Instance",30,"",NA,30,"day",NA,"",NA,"","","","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",55,"Property",98,"",NA,NA,"",NA,"cell count",NA,"Reported by Experimenter","Numeric","","mean","88700","=","dimensionless","standard deviation","74100","103300","dimensionless","[]","[""1007""]","[""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",56,"Property",98,"",NA,NA,"",NA,"macrophage",NA,"Reported by Experimenter","Numeric","","mean","75800","=","dimensionless","standard deviation","58400","93200","dimensionless","[]","[""1007""]","[""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",57,"Property",98,"",NA,NA,"",NA,"Neutrophil count",NA,"Reported by Experimenter","Numeric","","mean","12900","=","dimensionless","standard deviation","2500","23300","dimensionless","[]","[""1007""]","[""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",58,"Property",98,"",NA,NA,"",NA,"Accumulation",NA,"Reported by Experimenter","Numeric","","","26","=","percent","","","","","[]","[""1007""]","[""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",59,"Supplementary",58,"",NA,NA,"",NA,"Image",NA,"Reported by Experimenter","Text","Light Microscope Figure 1","","","","","","","","","[]","[""1004""]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",60,"Property",59,"",NA,NA,"",NA,"File system",NA,"Reported by Curator","Text","fs://image/10.1016/j.toxlet.2015.07.001_figure_1.jpeg ","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",61,"Property",59,"",NA,NA,"",NA,"File type",NA,"Reported by Curator","Text","jpeg","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",62,"Property",98,"",NA,NA,"",NA,"Accumulation",NA,"Reported by Experimenter","Text","No incorporation of ENPs was observed in neutrophils ","","","","","","","","","[]","[""1007""]","[""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",63,"Medium",54,"",NA,NA,"",NA,"Spot 1",NA,"Reported by Experimenter","Text","one","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",64,"Property",63,"",NA,NA,"",NA,"Accumulation",NA,"Reported by Experimenter","Numeric","","","0","=","percent","","","","","[]","[""1005""]","[""1002"",""1003"",""1004""]",NA,NA
"10.1016/j.toxlet.2015.07.001",65,"Property",63,"",NA,NA,"",NA,"Size",NA,"Reported by Experimenter","Numeric","","","5","~","micrometer","","","","","[]","[""1005""]","[""1002"",""1003""]",NA,NA
"10.1016/j.toxlet.2015.07.001",66,"Property",63,"",NA,NA,"",NA,"dissolution and recomplexation",NA,"Reported by Experimenter","Numeric","","","100","=","percent","","","","","[]","[""1005""]","[""1002"",""1003"",""1004""]",NA,NA
"10.1016/j.toxlet.2015.07.001",67,"Property",63,"",NA,NA,"",NA,"Copper measurement",NA,"Reported by Experimenter","Numeric","","","0.27","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",68,"Property",63,"",NA,NA,"",NA,"Accumulation",NA,"Reported by Experimenter","Numeric","","","27.9","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",69,"Property",63,"",NA,NA,"",NA,"Iron",NA,"Reported by Experimenter","Numeric","","","1.12","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",70,"Property",63,"",NA,NA,"",NA,"phosphorus measurement",NA,"Reported by Experimenter","Numeric","","","325","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",71,"Property",63,"",NA,NA,"",NA,"Sulfur",NA,"Reported by Experimenter","Numeric","","","365","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",72,"Property",63,"",NA,NA,"",NA,"Potassium measurement",NA,"Reported by Experimenter","Numeric","","","121","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",73,"Medium",54,"",NA,NA,"",NA,"Spot 2",NA,"Reported by Experimenter","Text","two","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",74,"Property",73,"",NA,NA,"",NA,"Accumulation",NA,"Reported by Experimenter","Numeric","","","37","=","percent","","","","","[]","[""1005""]","[""1002"",""1003"",""1004""]",NA,NA
"10.1016/j.toxlet.2015.07.001",75,"Property",73,"",NA,NA,"",NA,"dissolution and recomplexation",NA,"Reported by Experimenter","Numeric","","","63","=","percent","","","","","[]","[""1005""]","[""1002"",""1003"",""1004""]",NA,NA
"10.1016/j.toxlet.2015.07.001",76,"Property",73,"",NA,NA,"",NA,"Accumulation",NA,"Reported by Experimenter","Numeric","","","13","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",77,"Property",73,"",NA,NA,"",NA,"Copper measurement",NA,"Reported by Experimenter","Numeric","","","0.19","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",78,"Property",73,"",NA,NA,"",NA,"phosphorus measurement",NA,"Reported by Experimenter","Numeric","","","376","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",79,"Property",73,"",NA,NA,"",NA,"Iron",NA,"Reported by Experimenter","Numeric","","","1.22","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",80,"Property",73,"",NA,NA,"",NA,"Sulfur",NA,"Reported by Experimenter","Numeric","","","421","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",81,"Property",73,"",NA,NA,"",NA,"Potassium measurement",NA,"Reported by Experimenter","Numeric","","","115","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",82,"Medium",54,"",NA,NA,"",NA,"Spot 3",NA,"Reported by Experimenter","Text","three","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",83,"Property",82,"",NA,NA,"",NA,"Accumulation",NA,"Reported by Experimenter","Numeric","","","55","=","percent","","","","","[]","[""1005""]","[""1002"",""1003"",""1004""]",NA,NA
"10.1016/j.toxlet.2015.07.001",84,"Property",82,"",NA,NA,"",NA,"dissolution and recomplexation",NA,"Reported by Experimenter","Numeric","","","45","=","percent","","","","","[]","[""1005""]","[""1002"",""1003"",""1004""]",NA,NA
"10.1016/j.toxlet.2015.07.001",85,"Property",82,"",NA,NA,"",NA,"Accumulation",NA,"Reported by Experimenter","Numeric","","","3.6","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",86,"Property",82,"",NA,NA,"",NA,"Copper measurement",NA,"Reported by Experimenter","Numeric","","","0.23","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",87,"Property",82,"",NA,NA,"",NA,"Iron",NA,"Reported by Experimenter","Numeric","","","1.19","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",88,"Property",82,"",NA,NA,"",NA,"phosphorus measurement",NA,"Reported by Experimenter","Numeric","","","364","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",89,"Property",82,"",NA,NA,"",NA,"sulfur",NA,"Reported by Experimenter","Numeric","","","302","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",90,"Property",82,"",NA,NA,"",NA,"Potassium measurement",NA,"Reported by Experimenter","Numeric","","","190","=","milligram per gram","","","","","[]","[""1006""]","[""1005"",""1006"",""1007""]",NA,NA
"10.1016/j.toxlet.2015.07.001",91,"Medium",54,"",NA,NA,"",NA,"Spot 1-3",NA,"Reported by Experimenter","Text","one, two, three","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",92,"Property",91,"",NA,NA,"",NA,"Accumulation",NA,"Reported by Experimenter","Numeric","","mean","14.8","=","milligram per gram","standard deviation","9.8","27","milligram per gram","[]","[""1006"",""1007""]","[""1005"",""1006"",""1007"",""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",93,"Property",91,"",NA,NA,"",NA,"Copper measurement",NA,"Reported by Experimenter","Numeric","","mean","0.23","=","milligram per gram","standard deviation","0.19","0.27","milligram per gram","[]","[""1006"",""1007""]","[""1005"",""1006"",""1007"",""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",94,"Property",91,"",NA,NA,"",NA,"Iron",NA,"Reported by Experimenter","Numeric","","mean","1.18","=","milligram per gram","standard deviation","1.12","1.24","milligram per gram","[]","[""1006"",""1007""]","[""1005"",""1006"",""1007"",""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",95,"Property",91,"",NA,NA,"",NA,"phosphorus measurement",NA,"Reported by Experimenter","Numeric","","mean","355","=","milligram per gram","standard deviation","328","382","milligram per gram","[]","[""1006"",""1007""]","[""1005"",""1006"",""1007"",""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",96,"Property",91,"",NA,NA,"",NA,"sulfur",NA,"Reported by Experimenter","Numeric","","mean","362","=","milligram per gram","standard deviation","302","422","milligram per gram","[]","[""1006"",""1007""]","[""1005"",""1006"",""1007"",""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",97,"Property",91,"",NA,NA,"",NA,"Potassium measurement",NA,"Reported by Experimenter","Numeric","","mean","142","=","milligram per gram","standard deviation","101","183","milligram per gram","[]","[""1006"",""1007""]","[""1005"",""1006"",""1007"",""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",98,"Medium",54,"",NA,NA,"",NA,"Organ",NA,"Reported by Experimenter","Text","Lung","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",99,"Property",98,"",NA,NA,"",NA,"Sulfur",NA,"Reported by Experimenter","Numeric","","mean","204","=","milligram per gram","standard deviation","164","244","milligram per gram","[]","[""1006"",""1007""]","[""1005"",""1006"",""1007"",""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",100,"Property",98,"",NA,NA,"",NA,"slice",NA,"Reported by Experimenter","Text","showed clear round-shaped hot spots of Ag ","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",101,"Property",98,"",NA,NA,"",NA,"phosphorus measurement",NA,"Reported by Experimenter","Numeric","","mean","275","=","milligram per gram","standard deviation","235","315","milligram per gram","[]","[""1006"",""1007""]","[""1005"",""1006"",""1007"",""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",102,"Property",98,"",NA,NA,"",NA,"Potassium measurement",NA,"Reported by Experimenter","Numeric","","mean","108","=","milligram per gram","standard deviation","75","141","milligram per gram","[]","[""1006"",""1007""]","[""1005"",""1006"",""1007"",""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",103,"Property",98,"",NA,NA,"",NA,"Copper measurement",NA,"Reported by Experimenter","Numeric","","mean","0.1","=","milligram per gram","standard deviation","0.07","0.13","milligram per gram","[]","[""1006"",""1007""]","[""1005"",""1006"",""1007"",""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",104,"Property",98,"",NA,NA,"",NA,"Accumulation",NA,"Reported by Experimenter","Numeric","","mean","0.2","=","milligram per gram","standard deviation","","0.5","milligram per gram","[]","[""1006"",""1007""]","[""1005"",""1006"",""1007"",""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",105,"Property",98,"",NA,NA,"",NA,"Iron",NA,"Reported by Experimenter","Numeric","","mean","0.97","=","milligram per gram","standard deviation","0.9","1.67","milligram per gram","[]","[""1006"",""1007""]","[""1005"",""1006"",""1007"",""1008""]",NA,NA
"10.1016/j.toxlet.2015.07.001",106,"Property",98,"",NA,NA,"",NA,"Assay Category",NA,"Reported by Experimenter","Text","In vivo","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.toxlet.2015.07.001",107,"Material",54,"",NA,NA,"",NA,"core component",24,"Reported by Experimenter","Text","silver nanoparticle","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",5,"Supplementary",4,"",NA,NA,"",NA,"Image",NA,"Reported by Experimenter","Text","TEM figure 1","","","","","","","","","[]","[]","[""10011""]",NA,NA
"10.1016/j.ntt.2015.08.006",6,"Property",5,"",NA,NA,"",NA,"File system",NA,"Reported by Experimenter","Text","fs://image/10.1016/j.ntt.2015.08.006_figure_1.jpeg ","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",7,"Property",5,"",NA,NA,"",NA,"File type",NA,"Reported by Experimenter","Text","jpeg","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",8,"Property",2,"",NA,NA,"",NA,"Supplier",NA,"Received from Supplier","Text","NovaCentrix ","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",9,"Property",2,"",NA,NA,"",NA,"Agglomerate ",NA,"Reported by Experimenter","Numeric","","mean","39.97","=","nanometer","standard deviation","21.99","57.95","nanometer","[]","[""1009""]","[""10011""]",NA,NA
"10.1016/j.ntt.2015.08.006",10,"Instance",1,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",11,"Property",13,"",NA,NA,"",NA,"Particle Size Distribution",NA,"Reported by Experimenter","Numeric","","","1090","=","nanometer","","","","","[]","[]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",12,"Medium",10,"",NA,NA,"",NA,"Exposure medium",NA,"Made by Experimenter","Text","Phosphate buffered saline","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",13,"Material",10,"",NA,NA,"",NA,"core component",NA,"Received from Supplier","Text","silver nanoparticle","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",15,"Instance",1,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",16,"Property",15,"",NA,NA,"",NA,"Zeta potential",NA,"Reported by Experimenter","Numeric","","","−34.6","=","millivolt","","","","","[]","[]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",17,"Property",15,"",NA,NA,"",NA,"Particle Size Distribution",NA,"Reported by Experimenter","Numeric","","","118","=","nanometer","","","","","[]","[]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",18,"Medium",15,"",NA,NA,"",NA,"Exposure Medium",NA,"Made by Experimenter","Text","water","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",19,"Material",15,"",NA,NA,"",NA,"core component",NA,"Received from Supplier","Text","silver nanoparticle","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",20,"Property",19,"",NA,NA,"",NA,"Physical State",NA,"Reported by Experimenter","Text","Suspension","","","","","","","","","[]","[]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",21,"Property",19,"",NA,NA,"",NA,"Concentration",NA,"Reported by Experimenter","Numeric","","","50","=","microgram per milliliter","","","","","[]","[]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",22,"Instance",15,"",NA,NA,"",NA,"",NA,"","","","","","","","","","","","[]","[""10010""]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",23,"Medium",22,"",NA,NA,"",NA,"Class",NA,"Made by Experimenter","Text","Mammal","","","","","","","","","[]","[""10012""]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",24,"Property",23,"",NA,NA,"",NA,"Latin name",NA,"Reported by Experimenter","Text","Mus Musculus","","","","","","","","","[]","[""10012""]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",25,"Property",23,"",NA,NA,"",NA,"Assay Category",NA,"Reported by Experimenter","Text","In vivo","","","","","","","","","[]","[""10012""]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",26,"Property",23,"",NA,NA,"",NA,"Sex",NA,"Reported by Experimenter","Text","Male","","","","","","","","","[]","[""10012""]","[]",NA,NA
"10.1016/j.ntt.2015.08.006",27,"Property",23,"",NA,NA,"",NA,"Strain",NA,"Reported by Experimenter","Text","C57BL/6","","","","","","","","","[]","[""10012""]","[]",NA,NA
